date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,moderna,0,vaccine,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-23,AG,moderna,0,vaccine,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-24,AG,moderna,0,vaccine,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-25,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-26,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-27,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-28,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-29,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-30,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2020-12-31,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-01,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-02,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-03,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-04,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-05,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-06,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-07,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-08,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-09,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-10,AG,moderna,0,vaccine,685845,0,0,0,0,0,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-11,AG,moderna,0,vaccine,685845,0,0,0,0,5.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-12,AG,moderna,0,vaccine,685845,0,0,0,0,5.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-13,AG,moderna,0,vaccine,685845,0,0,0,0,5.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-14,AG,moderna,41,vaccine,685845,41,0.01,0,0.01,5.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-15,AG,moderna,0,vaccine,685845,41,0,0,0.01,7.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-16,AG,moderna,0,vaccine,685845,41,0,0,0.01,20.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-17,AG,moderna,0,vaccine,685845,41,0,0.01,0.01,90.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-18,AG,moderna,13,vaccine,685845,54,0,0.02,0.01,168.29,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-19,AG,moderna,92,vaccine,685845,146,0.01,0.03,0.02,185.29,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-20,AG,moderna,490,vaccine,685845,636,0.07,0.03,0.09,185.29,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-21,AG,moderna,583,vaccine,685845,1219,0.09,0.03,0.18,185.29,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-22,AG,moderna,119,vaccine,685845,1338,0.02,0.03,0.2,209.14,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-23,AG,moderna,0,vaccine,685845,1338,0,0.04,0.2,276.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-24,AG,moderna,0,vaccine,685845,1338,0,0.05,0.2,315,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-25,AG,moderna,180,vaccine,685845,1518,0.03,0.06,0.22,393,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-26,AG,moderna,565,vaccine,685845,2083,0.08,0.06,0.3,403,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-27,AG,moderna,758,vaccine,685845,2841,0.11,0.06,0.41,403,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-28,AG,moderna,1129,vaccine,685845,3970,0.16,0.06,0.58,403,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-29,AG,moderna,189,vaccine,685845,4159,0.03,0.06,0.61,433.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-30,AG,moderna,0,vaccine,685845,4159,0,0.07,0.61,498.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-01-31,AG,moderna,0,vaccine,685845,4159,0,0.08,0.61,575.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-01,AG,moderna,394,vaccine,685845,4553,0.06,0.08,0.66,523.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-02,AG,moderna,1020,vaccine,685845,5573,0.15,0.1,0.81,655.14,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-03,AG,moderna,1296,vaccine,685845,6869,0.19,0.1,1,655.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-04,AG,moderna,765,vaccine,685845,7634,0.11,0.1,1.11,655.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-05,AG,moderna,1111,vaccine,685845,8745,0.16,0.1,1.28,679.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-06,AG,moderna,4,vaccine,685845,8749,0,0.1,1.28,668.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-07,AG,moderna,0,vaccine,685845,8749,0,0.09,1.28,629.29,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-08,AG,moderna,562,vaccine,685845,9311,0.08,0.1,1.36,656.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-09,AG,moderna,941,vaccine,685845,10252,0.14,0.09,1.49,610.14,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-10,AG,moderna,1022,vaccine,685845,11274,0.15,0.09,1.64,609.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-11,AG,moderna,955,vaccine,685845,12229,0.14,0.09,1.78,609.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-12,AG,moderna,787,vaccine,685845,13016,0.11,0.09,1.9,621.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-13,AG,moderna,0,vaccine,685845,13016,0,0.08,1.9,577.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-14,AG,moderna,0,vaccine,685845,13016,0,0.08,1.9,570.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-15,AG,moderna,646,vaccine,685845,13662,0.09,0.09,1.99,597.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-16,AG,moderna,632,vaccine,685845,14294,0.09,0.08,2.08,554.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-17,AG,moderna,976,vaccine,685845,15270,0.14,0.09,2.23,598.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-18,AG,moderna,1143,vaccine,685845,16413,0.17,0.09,2.39,598.57,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-19,AG,moderna,485,vaccine,685845,16898,0.07,0.09,2.46,622.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-20,AG,moderna,308,vaccine,685845,17206,0.04,0.1,2.51,710.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-21,AG,moderna,0,vaccine,685845,17206,0,0.12,2.51,807.71,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-22,AG,moderna,813,vaccine,685845,18019,0.12,0.13,2.63,933.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-23,AG,moderna,1251,vaccine,685845,19270,0.18,0.16,2.81,1120.43,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-24,AG,moderna,1654,vaccine,685845,20924,0.24,0.16,3.05,1076.86,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-25,AG,moderna,2023,vaccine,685845,22947,0.29,0.16,3.35,1077,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-26,AG,moderna,1794,vaccine,685845,24741,0.26,0.17,3.61,1144,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-27,AG,moderna,3,vaccine,685845,24744,0,0.18,3.61,1237.14,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-02-28,AG,moderna,1,vaccine,685845,24745,0,0.19,3.61,1328,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
2021-03-01,AG,moderna,1282,vaccine,685845,26027,0.19,0.19,3.79,1312.14,COVID19VaccDosesAdministered,2021-08-27_10-01-26,detailed
